,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[18],-0.047,0.024,-0.093,-0.004,0.001,0.001,750.0,779.0,1.0
beta[19],-0.047,0.023,-0.088,-0.002,0.001,0.001,703.0,1011.0,1.0
beta[20],-0.046,0.023,-0.086,-0.001,0.001,0.001,800.0,941.0,1.0
beta[21],-0.044,0.023,-0.087,-0.002,0.001,0.001,883.0,976.0,1.0
beta[22],-0.042,0.022,-0.082,0.002,0.001,0.001,949.0,1126.0,1.0
beta[23],-0.039,0.021,-0.076,0.004,0.001,0.001,835.0,988.0,1.0
beta[24],-0.036,0.02,-0.074,0.001,0.001,0.001,549.0,713.0,1.0
beta[25],-0.031,0.019,-0.067,0.006,0.001,0.001,619.0,879.0,1.0
beta[26],-0.027,0.019,-0.063,0.009,0.001,0.001,542.0,827.0,1.0
beta[27],-0.026,0.02,-0.062,0.012,0.001,0.001,411.0,655.0,1.01
beta[28],-0.024,0.019,-0.061,0.009,0.001,0.001,494.0,683.0,1.0
beta[29],-0.022,0.017,-0.057,0.008,0.001,0.0,702.0,1015.0,1.0
beta[30],-0.024,0.016,-0.053,0.007,0.001,0.0,755.0,1006.0,1.0
beta[31],-0.03,0.015,-0.06,-0.002,0.001,0.0,748.0,1100.0,1.01
beta[32],-0.037,0.015,-0.065,-0.009,0.001,0.0,888.0,1160.0,1.0
beta[33],-0.043,0.015,-0.072,-0.013,0.0,0.0,1003.0,1479.0,1.0
beta[34],-0.05,0.015,-0.078,-0.022,0.0,0.0,1077.0,1668.0,1.0
beta[35],-0.059,0.015,-0.085,-0.031,0.0,0.0,1098.0,1611.0,1.0
beta[36],-0.065,0.014,-0.091,-0.036,0.0,0.0,1107.0,1327.0,1.0
beta[37],-0.073,0.014,-0.1,-0.049,0.0,0.0,1054.0,1341.0,1.0
beta[38],-0.089,0.014,-0.114,-0.063,0.0,0.0,898.0,1438.0,1.0
beta[39],-0.098,0.014,-0.124,-0.074,0.0,0.0,1208.0,1499.0,1.0
beta[40],-0.101,0.014,-0.125,-0.074,0.0,0.0,1329.0,1830.0,1.0
beta[41],-0.105,0.014,-0.131,-0.078,0.0,0.0,1025.0,1543.0,1.0
beta[42],-0.11,0.014,-0.136,-0.082,0.0,0.0,1290.0,1448.0,1.0
beta[43],-0.113,0.014,-0.138,-0.084,0.0,0.0,1138.0,1679.0,1.0
beta[44],-0.122,0.015,-0.149,-0.093,0.0,0.0,970.0,1601.0,1.0
beta[45],-0.125,0.015,-0.155,-0.097,0.0,0.0,1228.0,1866.0,1.0
beta[46],-0.123,0.016,-0.15,-0.09,0.0,0.0,1301.0,1739.0,1.0
beta[47],-0.116,0.019,-0.15,-0.08,0.001,0.0,1357.0,1821.0,1.0
trend[0],0.914,0.008,0.899,0.929,0.0,0.0,765.0,970.0,1.0
trend[1],0.913,0.008,0.899,0.927,0.0,0.0,837.0,1005.0,1.0
trend[2],0.912,0.007,0.899,0.926,0.0,0.0,907.0,1345.0,1.0
trend[3],0.911,0.007,0.898,0.924,0.0,0.0,1004.0,1372.0,1.0
trend[4],0.91,0.006,0.898,0.922,0.0,0.0,1140.0,1482.0,1.0
trend[5],0.909,0.006,0.898,0.92,0.0,0.0,1274.0,1426.0,1.0
trend[6],0.908,0.006,0.898,0.919,0.0,0.0,1441.0,1626.0,1.0
trend[7],0.907,0.006,0.897,0.917,0.0,0.0,1608.0,1756.0,1.0
trend[8],0.906,0.005,0.896,0.916,0.0,0.0,1764.0,1878.0,1.0
